Machine , RealtimeProtection_DisableScanOnRealtimeEnable , $(string.RealtimeProtection_DisableScanOnRealtimeEnable)
Machine , RealtimeProtection_IOAVMaxSize , $(string.RealtimeProtection_IOAVMaxSize)
Machine , RealtimeProtection_LocalSettingOverrideDisableBehaviorMonitoring , $(string.RealtimeProtection_LocalSettingOverrideDisableBehaviorMonitoring)
Machine , RealtimeProtection_LocalSettingOverrideDisableOnAccessProtection , $(string.RealtimeProtection_LocalSettingOverrideDisableOnAccessProtection)
Machine , RealtimeProtection_LocalSettingOverrideDisableIOAVProtection , $(string.RealtimeProtection_LocalSettingOverrideDisableIOAVProtection)
Machine , RealtimeProtection_LocalSettingOverrideDisableRealtimeMonitoring , $(string.RealtimeProtection_LocalSettingOverrideDisableRealtimeMonitoring)
Machine , RealtimeProtection_LocalSettingOverrideRealtimeScanDirection , $(string.RealtimeProtection_LocalSettingOverrideRealtimeScanDirection)
Machine , RealtimeProtection_RealtimeScanDirection , $(string.RealtimeProtection_RealtimeScanDirection)
Machine , Remediation_LocalSettingOverrideScan_ScheduleTime , $(string.Remediation_LocalSettingOverrideScan_ScheduleTime)
Machine , Remediation_Scan_ScheduleDay , $(string.Remediation_Scan_ScheduleDay)
Machine , Remediation_Scan_ScheduleTime , $(string.Remediation_Scan_ScheduleTime)
Machine , Reporting_AdditionalActionTimeout , $(string.Reporting_AdditionalActionTimeout)
Machine , Reporting_CriticalFailureTimeout , $(string.Reporting_CriticalFailureTimeout)
Machine , Reporting_DisablegenericrePorts , $(string.Reporting_DisablegenericrePorts)
Machine , Reporting_NonCriticalTimeout , $(string.Reporting_NonCriticalTimeout)
Machine , Reporting_RecentlyCleanedTimeout , $(string.Reporting_RecentlyCleanedTimeout)
Machine , Reporting_WppTracingComponents , $(string.Reporting_WppTracingComponents)
Machine , Reporting_WppTracingLevel , $(string.Reporting_WppTracingLevel)
Machine , Reporting_DisableEnhancedNotifications , $(string.Reporting_DisableEnhancedNotifications)
Machine , Scan_AllowPause , $(string.Scan_AllowPause)
Machine , Scan_ArchiveMaxDepth , $(string.Scan_ArchiveMaxDepth)
