PowerBatteryAlarmSettingsCat,PowerManagementCat
Speech,WindowsComponents
ScriptPaste,CategoryAppCompat
AppxDeployment,WindowsComponents
TS_PRINT_REDIRECTION,TS_TERMINAL_SERVER
RealtimeProtection,AntiSpywareDefender
AppPrivacy,WindowsComponents
CAT_WindowsErrorReportingAdvanced,CAT_WindowsErrorReporting
WindowsLocationProvider,LocationAndSensors
CAT_PowerManagement,CAT_AppV
RemoteAssist,System
NTFS,Filesystem
CSE_Logging,PolicyPolicies
SNMP_SNMP,Network
IZ_InternetZone,IZ_SecurityPage
Cat_LanmanServer,Network
WBC_Cat,Network
IZ_InternetZoneLockdown,IZ_SecurityPage
Troubleshooting,System
CAT_Client_Coexistence,CAT_AppV
FCI,System
WwanSvc_Category,Network
TS_REDIRECTION,TS_TERMINAL_SERVER
iSCSISecurity_Category,iSCSI_Category
NetworkCost_Category,WwanSvc_Category
InternetCPL_Content,InternetCPL
InternetSettings,InternetExplorer
DisplaySettings,InternetSettings
MDM,WindowsComponents
googlechrome,Cat_Google
Printing,googlechrome
RDS_VM_HOST_Node,TS_GP_NODE
Parameters,TCPIP
SoftwareProtectionPlatform,WindowsComponents
DisplayCat,System
Addons,firefox
UserProfiles,System
Personalization,ControlPanel
EventViewer,WindowsComponents
PNRP_Global,PNRP_Name
QosUserPriorityMapping,QosPsched
Calculator,WindowsComponents
P2P_Name,Network
EnergySaverSettingsCat,PowerManagementCat
Bookmarks,firefox
TS_SD_Node,TS_TERMINAL_SERVER
EdgeUI,WindowsComponents
ShutdownOptions,System
Notifications,WindowsDefenderSecurityCenter
PasswordManager,googlechrome
Ipv6Transition,TCPIP
ELAMCategory,System
InputPersonalization,RegionalOptions
GoogleCast,googlechrome
CAT_Streaming,CAT_AppV
AdminApproved,InternetExplorer
TS_USB_REDIRECTION,TS_CLIENT
DevicePerformanceHealth,WindowsDefenderSecurityCenter
PushToInstall,WindowsComponents
Sharing,WindowsComponents
TCPIP,Network
SR,System
ResumeScenarioCategory,Troubleshooting
EventLog_Security,EventLogCategory
NotificationsCategory,StartMenu
Soundrec_GroupPolicyCategory,WindowsComponents
Extensions,googlechrome
SecurityFeatures,InternetExplorer
PolicyPolicies,PolicyPolicies
DeviceInstall_Restrictions_Category,DeviceInstall_Category
PowerHardDiskSettingsCat,PowerManagementCat
IZ_TrustedSitesZone,IZ_SecurityPage
CredUI,WindowsComponents
ShutdownScenarioCategory,Troubleshooting
Logon,System
ControlPanel,
BiometricsConfiguration,WindowsComponents
MMC_ExtensionSnapins,MMC_RESTRICT
PowerManagementCat,System
TS_GATEWAY,TS_GP_NODE
WorkplaceJoin,WindowsComponents
IESF_AddOnManagement,SecurityFeatures
IESF_CategoryScriptedWindowSecurityRestrictions,SecurityFeatures
PNRP_LinkLocal,PNRP_Name
iSCSIGeneral_Category,iSCSI_Category
MSPassportForWorkPINComplexityCategory,System
Desktop,
AppXRuntime,WindowsComponents
TaskScheduler,WindowsComponents
Cat_LanmanWorkstation,Network
DeviceCompat,WindowsComponents
InternetExplorer,WindowsComponents
InternetCPL_Privacy,InternetCPL
WAU,WindowsComponents
googlechrome_recommended,Cat_Google
LinkColors,DisplaySettings
DeprecatedPolicies_recommended,googlechrome_recommended
IIS,WindowsComponents
IZ_IntranetZoneLockdown,IZ_SecurityPage
IESF_CategoryMKProtocolSecurityRestriction,SecurityFeatures
MMC_Preferences,MMC_GroupPolicy
FileHistory,WindowsComponents
Threats,AntiSpywareDefender
DeviceAccess,System
KDC,System
W32TIME_TIMEPROVIDERS,W32TIME_ROOT
IESF_CategoryObjectCachingProtection,SecurityFeatures
WinCal,WindowsComponents
DeviceInstall_Category,System
DriverInstall_Category,System
InternetCPL_Advanced_Security,AdvancedPage
UpdateCheck,ComponentUpdates
Advanced,InternetSettings
Edge,SmartScreen
PNRP_Name,P2P_Name
